task_id	hash	native_id	name	status	exit	submit	start	complete	duration	realtime	cpus	time	memory	%cpu	peak_rss	peak_vmem	rchar	wchar
39	97/a14643	5047648.pbs	NFCORE_CUTANDRUN:CUTANDRUN:UCSC_BEDCLIP (S_1_R1)	COMPLETED	0	2022-01-26 12:39:17.843	2022-01-26 12:41:17.644	2022-01-26 12:41:22.629	2m 5s	5s	6	8h	36 GB	94.3%	7.6 MB	18.5 MB	220.5 MB	220.4 MB
40	38/2bcfc6	5047647.pbs	NFCORE_CUTANDRUN:CUTANDRUN:SEACR_CALLPEAK_NOIGG (S_1_R1)	COMPLETED	0	2022-01-26 12:39:17.752	2022-01-26 12:40:27.656	2022-01-26 12:41:27.625	2m 10s	58s	6	8h	36 GB	120.4%	129.8 MB	16.2 GB	444.8 MB	128 MB
42	09/f7b9c8	5047655.pbs	NFCORE_CUTANDRUN:CUTANDRUN:AWK_FRAG_BIN (S_1_R1)	COMPLETED	0	2022-01-26 12:40:57.821	2022-01-26 12:41:37.640	2022-01-26 12:41:47.641	49.8s	6.5s	2	4h	12 GB	113.2%	28.2 MB	51.9 MB	521.3 MB	499.3 MB
44	8b/c0ed39	5047659.pbs	NFCORE_CUTANDRUN:CUTANDRUN:AWK_NAME_PEAK_BED (S_1_R1)	COMPLETED	0	2022-01-26 12:41:27.758	2022-01-26 12:42:02.654	2022-01-26 12:42:02.661	34.9s	145ms	2	4h	12 GB	16.4%	4.6 MB	7.8 MB	3.8 MB	5.4 MB
45	bf/3c81c9	5047660.pbs	NFCORE_CUTANDRUN:CUTANDRUN:AWK_EDIT_PEAK_BED (S_1_R1)	COMPLETED	0	2022-01-26 12:41:27.844	2022-01-26 12:42:02.721	2022-01-26 12:42:02.739	34.9s	201ms	2	4h	12 GB	29.6%	3 MB	3.9 MB	3.8 MB	1.4 MB
43	42/582825	5047658.pbs	NFCORE_CUTANDRUN:CUTANDRUN:UCSC_BEDGRAPHTOBIGWIG (S_1_R1)	COMPLETED	0	2022-01-26 12:41:22.801	2022-01-26 12:42:02.632	2022-01-26 12:42:17.634	54.8s	15s	6	8h	36 GB	95.0%	40.2 MB	66.7 MB	661.3 MB	57.9 MB
46	b8/1b00cf	5047661.pbs	NFCORE_CUTANDRUN:CUTANDRUN:CALCULATE_FRIP (S_1_R1)	COMPLETED	0	2022-01-26 12:41:29.827	2022-01-26 12:42:02.806	2022-01-26 12:42:37.633	1m 8s	28.5s	32	3d	124 GB	1017.9%	3.1 GB	530.4 GB	39.1 GB	4.1 MB
47	20/4cb595	5047664.pbs	NFCORE_CUTANDRUN:CUTANDRUN:CUT_CALC_REPROD (S_1_R1)	COMPLETED	0	2022-01-26 12:42:02.855	2022-01-26 12:42:42.629	2022-01-26 12:42:42.637	39.8s	30ms	2	4h	12 GB	65.0%	0	0	5.5 MB	2.7 MB
49	d2/312100	5047665.pbs	NFCORE_CUTANDRUN:CUTANDRUN:DEEPTOOLS_COMPUTEMATRIX_PEAKS (S_1_R1)	COMPLETED	0	2022-01-26 12:42:17.807	2022-01-26 12:42:42.679	2022-01-26 12:45:02.638	2m 45s	2m 18s	32	3d	62 GB	1007.9%	3.8 GB	6.3 GB	462.6 GB	463.3 MB
50	63/83fcb7	5047673.pbs	NFCORE_CUTANDRUN:CUTANDRUN:DEEPTOOLS_PLOTHEATMAP_PEAKS (S_1_R1)	COMPLETED	0	2022-01-26 12:45:03.292	2022-01-26 12:45:37.636	2022-01-26 12:47:52.635	2m 49s	2m 15s	2	4h	12 GB	97.5%	2.6 MB	11 MB	54.9 MB	18.3 MB
48	f6/d96976	5047666.pbs	NFCORE_CUTANDRUN:CUTANDRUN:DEEPTOOLS_COMPUTEMATRIX_GENE (S_1_R1)	COMPLETED	0	2022-01-26 12:42:26.850	2022-01-26 12:43:02.636	2022-01-26 12:48:52.641	6m 26s	5m 49s	32	3d	124 GB	1379.9%	7.9 GB	10.4 GB	599.5 GB	1.1 GB
5	d2/a9540c	5047509.pbs	NFCORE_CUTANDRUN:CUTANDRUN:FASTQC_TRIMGALORE:TRIMGALORE (S_1_R2)	COMPLETED	0	2022-01-26 12:11:02.257	2022-01-26 12:18:16.672	2022-01-26 12:49:42.638	38m 40s	31m 26s	6	3d	96 GB	293.2%	1.9 GB	2.3 GB	79 GB	76.4 GB
51	79/a1647c	5047692.pbs	NFCORE_CUTANDRUN:CUTANDRUN:DEEPTOOLS_PLOTHEATMAP_GENE (S_1_R1)	COMPLETED	0	2022-01-26 12:48:52.988	2022-01-26 12:49:32.640	2022-01-26 12:53:52.641	5m	4m 16s	2	4h	12 GB	98.7%	4.5 GB	4.7 GB	79.6 MB	44.6 MB
52	42/fcb50c	5047695.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BOWTIE2_SPIKEIN_ALIGN (S_1_R2)	COMPLETED	0	2022-01-26 12:49:59.070	2022-01-26 12:50:52.653	2022-01-26 12:53:52.667	3m 54s	2m 57s	32	3d	124 GB	3325.8%	460.2 MB	5.7 GB	12.3 GB	12.3 GB
54	ba/756a93	5047707.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ANNOTATE_BT2_SPIKEIN_META:AWK_SCRIPT (S_1_R2)	COMPLETED	0	2022-01-26 12:53:53.093	2022-01-26 12:54:27.656	2022-01-26 12:54:27.661	34.6s	58ms	2	4h	12 GB	11.8%	0	0	132.3 KB	664 B
55	c2/bece9e	5047706.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS_SPIKEIN:SAMTOOLS_SORT (S_1_R2)	COMPLETED	0	2022-01-26 12:53:52.997	2022-01-26 12:55:07.645	2022-01-26 12:56:27.649	2m 35s	1m 20s	6	8h	36 GB	422.1%	5 GB	6 GB	4.5 GB	4.5 GB
