task_id	hash	native_id	name	status	exit	submit	start	complete	duration	realtime	cpus	time	memory	%cpu	peak_rss	peak_vmem	rchar	wchar
3	62/be5adf	5043475.pbs	NFCORE_CUTANDRUN:CUTANDRUN:INPUT_CHECK:SAMPLESHEET_CHECK (design.csv)	COMPLETED	0	2022-01-25 13:08:04.782	2022-01-25 13:09:05.172	2022-01-25 13:09:05.351	1m 1s	1s	2	6h	12 GB	15.5%	3.1 MB	22.1 MB	705.6 KB	941 B
2	9a/0dbd91	5043477.pbs	NFCORE_CUTANDRUN:CUTANDRUN:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)	COMPLETED	0	2022-01-25 13:08:16.893	2022-01-25 13:09:20.004	2022-01-25 13:09:55.008	1m 38s	23s	2	6h	12 GB	93.2%	6.2 MB	11.9 MB	2.9 GB	16.7 KB
1	c2/2b3a46	5043478.pbs	NFCORE_CUTANDRUN:CUTANDRUN:PREPARE_GENOME:GET_SPIKEIN_CHROM_SIZES (genome.fa)	COMPLETED	0	2022-01-25 13:08:17.021	2022-01-25 13:10:25.041	2022-01-25 13:10:25.067	2m 8s	0ms	2	6h	12 GB	65.4%	4.7 MB	11.7 MB	4.6 MB	4.7 KB
4	3c/1080d0	5043482.pbs	NFCORE_CUTANDRUN:CUTANDRUN:FASTQC_TRIMGALORE:FASTQC (S_1_R1)	COMPLETED	0	2022-01-25 13:09:06.135	2022-01-25 13:10:13.501	2022-01-25 13:10:25.137	1m 19s	30s	32	3d	62 GB	199.5%	2.7 GB	11.2 GB	523.9 MB	4.7 MB
5	d0/fdabe4	5043485.pbs	NFCORE_CUTANDRUN:CUTANDRUN:FASTQC_TRIMGALORE:FASTQC (S_1_R2)	COMPLETED	0	2022-01-25 13:09:06.826	2022-01-25 13:10:13.607	2022-01-25 13:11:55.015	2m 48s	2m	32	3d	62 GB	196.5%	5.4 GB	11.4 GB	2.5 GB	4.7 MB
6	9b/86daf7	5043483.pbs	NFCORE_CUTANDRUN:CUTANDRUN:FASTQC_TRIMGALORE:TRIMGALORE (S_1_R1)	COMPLETED	0	2022-01-25 13:09:06.295	2022-01-25 13:10:13.517	2022-01-25 13:13:05.023	3m 59s	3m 7s	32	3d	62 GB	396.9%	2.8 MB	11 MB	15.6 GB	15 GB
8	0f/72b76d	5043531.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BOWTIE2_SPIKEIN_ALIGN (S_1_R1)	COMPLETED	0	2022-01-25 13:14:17.555	2022-01-25 13:14:40.039	2022-01-25 13:15:53.046	1m 35s	36s	32	3d	62 GB	3160.7%	2.9 MB	11 MB	2.4 GB	2.4 GB
10	ea/d43f1c	5043537.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS_SPIKEIN:SAMTOOLS_SORT (S_1_R1)	COMPLETED	0	2022-01-25 13:15:59.057	2022-01-25 13:16:38.186	2022-01-25 13:16:57.981	58.9s	14s	32	3d	62 GB	367.7%	2.1 GB	27.9 GB	464.4 MB	464.2 MB
11	a9/180823	5043538.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ANNOTATE_BT2_SPIKEIN_META:AWK_SCRIPT (S_1_R1)	COMPLETED	0	2022-01-25 13:16:16.148	2022-01-25 13:16:58.113	2022-01-25 13:17:02.973	46.8s	73ms	2	6h	12 GB	10.1%	0	0	133.6 KB	668 B
12	22/7904be	5043541.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS_SPIKEIN:SAMTOOLS_INDEX (S_1_R1)	COMPLETED	0	2022-01-25 13:16:58.279	2022-01-25 13:17:52.989	2022-01-25 13:18:03.265	1m 5s	5s	2	6h	12 GB	87.8%	6.3 MB	11.8 MB	464.4 MB	4.7 KB
