"","Sample","Precision","Recall","F1_Score"
"E2_in_E1","E2_in_E1",93.5754762067318,48.9830678288749,64.3050043638039
"E3_in_E1","E3_in_E1",96.7173590504451,37.1860380877513,53.7183592688799
"E3_in_E2","E3_in_E2",89.263930102209,62.5657131153137,73.5674710678063
"E4_in_E1","E4_in_E1",95.709057254638,33.0574244911486,49.1415916691804
"E4_in_E2","E4_in_E2",90.9595725884481,57.0410322933024,70.1136042186868
"E4_in_E3","E4_in_E3",82.8278154053258,75.267886580943,78.8670980595894
