"","Sample","Precision","Recall","F1_Score"
"K562_E2_in_K562_E1","K562_E2_in_K562_E1",73.2626924200075,41.2363320678798,52.7704882435564
"A549_E2_in_A549_E1","A549_E2_in_A549_E1",52.2939667281951,81.8544901152447,63.817297393672
