"","Sample","Precision","Recall","F1_Score"
"1","ENCODE_Broad",72.9883730994489,26.0322862910727,38.3769253030516
"2","cutandrun",49.0735826673327,70.1816878991863,57.7595748429854
"3","cutandtag_withdup",24.4992081793682,22.3268728598103,23.3626514988142
"4","cutandtag_dedup",24.6362799691361,22.5197913724085,23.5305388813596
"5","H3K27me3_Cell_Signaling_Tn5_F6_P7_R1",59.7344136844474,72.1639256161335,65.3635187327764
"6","H3K27me3_Cell_Signaling_Tn5_F10_P7_R1",63.1779116194085,66.2123895024769,64.6595680793232
"7","H3K27me3_Cell_Signaling_pA_Tn5_F10_P9_R1",71.4868814184721,68.3441390666878,69.8801932240263
"8","H3K27me3_Cell_Signaling_pA_Tn5_F10_P6_R1",72.1955376510691,36.6352255424111,48.6057384399745
